Country,Indicator,Attribute,Value
Australia,Nominal GDP NC (millions) ,1974,71103.031
Australia,Nominal GDP NC (millions) ,1975,83087.352
Australia,Nominal GDP NC (millions) ,1976,96085.056
Australia,Nominal GDP NC (millions) ,1977,105025.856
Australia,Nominal GDP NC (millions) ,1978,118728.874
Australia,Nominal GDP NC (millions) ,1979,134239.672
Australia,Nominal GDP NC (millions) ,1980,152144.832
Australia,Nominal GDP NC (millions) ,1981,175704.096
Australia,Nominal GDP NC (millions) ,1982,189321.9
Australia,Nominal GDP NC (millions) ,1983,213362.191
Australia,Nominal GDP NC (millions) ,1984,235137.168
Australia,Nominal GDP NC (millions) ,1985,260163.144
Australia,Nominal GDP NC (millions) ,1986,285383.26
Australia,Nominal GDP NC (millions) ,1987,324231.6
Australia,Nominal GDP NC (millions) ,1988,367364.592
Australia,Nominal GDP NC (millions) ,1989,403885.945
Australia,Nominal GDP NC (millions) ,1990,414309.573
Australia,Nominal GDP NC (millions) ,1991,422812.88
Australia,Nominal GDP NC (millions) ,1992,443778.685
Australia,Nominal GDP NC (millions) ,1993,465542.37
Australia,Nominal GDP NC (millions) ,1994,494433.555
Australia,Nominal GDP NC (millions) ,1995,527706.421
Australia,Nominal GDP NC (millions) ,1996,555049.338
Australia,Nominal GDP NC (millions) ,1997,588114.988
Australia,Nominal GDP NC (millions) ,1998,619967.04
Australia,Nominal GDP NC (millions) ,1999,661087.168
Australia,Nominal GDP NC (millions) ,2000,704772.081
Australia,Nominal GDP NC (millions) ,2001,754041.8
Australia,Nominal GDP NC (millions) ,2002,800539.196
Australia,Nominal GDP NC (millions) ,2003,861524.025
Australia,Nominal GDP NC (millions) ,2004,922242.272
Australia,Nominal GDP NC (millions) ,2005,995919.03
Australia,Nominal GDP NC (millions) ,2006,1086569.6
Australia,Nominal GDP NC (millions) ,2007,1177882.076
Australia,Nominal GDP NC (millions) ,2008,1260179.012
Australia,Nominal GDP NC (millions) ,2009,1301762.58
Australia,Nominal GDP NC (millions) ,2010,1416282.098
Australia,Nominal GDP NC (millions) ,2011,1498833.968
Australia,Nominal GDP NC (millions) ,2012,1536035.184
Australia,Nominal GDP NC (millions) ,2013,1598663.97
Australia,Nominal GDP NC (millions) ,2014,1624021.71
Australia,Nominal GDP NC (millions) ,2015,1660714
Australia,Nominal GDP NC (millions) ,2016,1761781.077
Australia,Nominal GDP NC (millions) ,2017,1848721.539
Australia,Nominal GDP NC (millions) ,2018,1952996.446
Australia,Nominal GDP NC (millions) ,2019,1984850.562
Australia,Nominal GDP NC (millions) ,2020 Estimated,1957708.319
Australia,Energy Technology RD&D Budget NC(millions),1974,..
Australia,Energy Technology RD&D Budget NC(millions),1975,..
Australia,Energy Technology RD&D Budget NC(millions),1976,..
Australia,Energy Technology RD&D Budget NC(millions),1977,..
Australia,Energy Technology RD&D Budget NC(millions),1978,..
Australia,Energy Technology RD&D Budget NC(millions),1979,19.84
Australia,Energy Technology RD&D Budget NC(millions),1980,41.69
Australia,Energy Technology RD&D Budget NC(millions),1981,54.6
Australia,Energy Technology RD&D Budget NC(millions),1982,..
Australia,Energy Technology RD&D Budget NC(millions),1983,96.57
Australia,Energy Technology RD&D Budget NC(millions),1984,..
Australia,Energy Technology RD&D Budget NC(millions),1985,67.7
Australia,Energy Technology RD&D Budget NC(millions),1986,..
Australia,Energy Technology RD&D Budget NC(millions),1987,62.4
Australia,Energy Technology RD&D Budget NC(millions),1988,..
Australia,Energy Technology RD&D Budget NC(millions),1989,91.74
Australia,Energy Technology RD&D Budget NC(millions),1990,..
Australia,Energy Technology RD&D Budget NC(millions),1991,..
Australia,Energy Technology RD&D Budget NC(millions),1992,..
