Country,Currency,Economic Indicators,Attribute,Value
Austria,National currency (nominal),Energy efficiency ,2013,..
Austria,National currency (nominal),Energy efficiency ,2014,..
Austria,National currency (nominal),Energy efficiency ,2015,..
Austria,National currency (nominal),Energy efficiency ,2016,..
Austria,National currency (nominal),Energy efficiency ,2017,..
Austria,National currency (nominal),Energy efficiency ,2018,..
Austria,National currency (nominal),Energy efficiency ,2019,..
Austria,National currency (nominal),Energy efficiency ,2020 Estimated,..
Austria,National currency (nominal),Fossil fuels,2013,..
Austria,National currency (nominal),Fossil fuels,2014,..
Austria,National currency (nominal),Fossil fuels,2015,..
Austria,National currency (nominal),Fossil fuels,2016,..
Austria,National currency (nominal),Fossil fuels,2017,..
Austria,National currency (nominal),Fossil fuels,2018,..
Austria,National currency (nominal),Fossil fuels,2019,..
Austria,National currency (nominal),Fossil fuels,2020 Estimated,..
Austria,National currency (nominal),Renewables,2013,..
Austria,National currency (nominal),Renewables,2014,..
Austria,National currency (nominal),Renewables,2015,..
Austria,National currency (nominal),Renewables,2016,..
Austria,National currency (nominal),Renewables,2017,..
Austria,National currency (nominal),Renewables,2018,..
Austria,National currency (nominal),Renewables,2019,..
Austria,National currency (nominal),Renewables,2020 Estimated,..
Austria,National currency (nominal),Nuclear ,2013,..
Austria,National currency (nominal),Nuclear ,2014,..
Austria,National currency (nominal),Nuclear ,2015,..
Austria,National currency (nominal),Nuclear ,2016,..
Austria,National currency (nominal),Nuclear ,2017,..
Austria,National currency (nominal),Nuclear ,2018,..
Austria,National currency (nominal),Nuclear ,2019,..
Austria,National currency (nominal),Nuclear ,2020 Estimated,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2013,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2014,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2015,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2016,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2017,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2018,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2019,..
Austria,National currency (nominal),Hydrogen and fuel cells ,2020 Estimated,..
Austria,National currency (nominal),Other power and storage technologies,2013,..
Austria,National currency (nominal),Other power and storage technologies,2014,..
Austria,National currency (nominal),Other power and storage technologies,2015,..
Austria,National currency (nominal),Other power and storage technologies,2016,..
Austria,National currency (nominal),Other power and storage technologies,2017,..
Austria,National currency (nominal),Other power and storage technologies,2018,..
Austria,National currency (nominal),Other power and storage technologies,2019,..
Austria,National currency (nominal),Other power and storage technologies,2020 Estimated,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2013,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2014,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2015,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2016,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2017,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2018,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2019,..
Austria,National currency (nominal),Other cross-cutting technologies/research ,2020 Estimated,..
Austria,National currency (nominal),Unallocated ,2013,..
Austria,National currency (nominal),Unallocated ,2014,..
Austria,National currency (nominal),Unallocated ,2015,485
Austria,National currency (nominal),Unallocated ,2016,..
Austria,National currency (nominal),Unallocated ,2017,681
Austria,National currency (nominal),Unallocated ,2018,..
Austria,National currency (nominal),Unallocated ,2019,..
Austria,National currency (nominal),Unallocated ,2020 Estimated,..
Austria,National currency (nominal),Total Budget,2013,..
Austria,National currency (nominal),Total Budget,2014,..
Austria,National currency (nominal),Total Budget,2015,485
Austria,National currency (nominal),Total Budget,2016,..
Austria,National currency (nominal),Total Budget,2017,681
Austria,National currency (nominal),Total Budget,2018,..
Austria,National currency (nominal),Total Budget,2019,..
Austria,National currency (nominal),Total Budget,2020 Estimated,..
Austria,National Currency (2020 prices),Energy efficiency ,2013,..
Austria,National Currency (2020 prices),Energy efficiency ,2014,..
Austria,National Currency (2020 prices),Energy efficiency ,2015,..
Austria,National Currency (2020 prices),Energy efficiency ,2016,..
Austria,National Currency (2020 prices),Energy efficiency ,2017,..
Austria,National Currency (2020 prices),Energy efficiency ,2018,..
Austria,National Currency (2020 prices),Energy efficiency ,2019,..
Austria,National Currency (2020 prices),Energy efficiency ,2020 Estimated,..
Austria,National Currency (2020 prices),Fossil fuels,2013,..
Austria,National Currency (2020 prices),Fossil fuels,2014,..
Austria,National Currency (2020 prices),Fossil fuels,2015,..
Austria,National Currency (2020 prices),Fossil fuels,2016,..
Austria,National Currency (2020 prices),Fossil fuels,2017,..
Austria,National Currency (2020 prices),Fossil fuels,2018,..
Austria,National Currency (2020 prices),Fossil fuels,2019,..
Austria,National Currency (2020 prices),Fossil fuels,2020 Estimated,..
Austria,National Currency (2020 prices),Renewables,2013,..
Austria,National Currency (2020 prices),Renewables,2014,..
Austria,National Currency (2020 prices),Renewables,2015,..
Austria,National Currency (2020 prices),Renewables,2016,..
Austria,National Currency (2020 prices),Renewables,2017,..
Austria,National Currency (2020 prices),Renewables,2018,..
Austria,National Currency (2020 prices),Renewables,2019,..
Austria,National Currency (2020 prices),Renewables,2020 Estimated,..
Austria,National Currency (2020 prices),Nuclear ,2013,..
