,Country,Indicator,Year,Amount
94,Australia,RD&D per thousand units of GDP,1974,0.0
2113,Italy,RD&D per thousand units of GDP,2019,0.0
2114,Italy,RD&D per thousand units of GDP,2020,0.0
2350,Korea,RD&D per thousand units of GDP,1974,0.0
2351,Korea,RD&D per thousand units of GDP,1975,0.0
2352,Korea,RD&D per thousand units of GDP,1976,0.0
2353,Korea,RD&D per thousand units of GDP,1977,0.0
2354,Korea,RD&D per thousand units of GDP,1978,0.0
2355,Korea,RD&D per thousand units of GDP,1979,0.0
2093,Italy,RD&D per thousand units of GDP,1999,0.0
2356,Korea,RD&D per thousand units of GDP,1980,0.0
2358,Korea,RD&D per thousand units of GDP,1982,0.0
2359,Korea,RD&D per thousand units of GDP,1983,0.0
2360,Korea,RD&D per thousand units of GDP,1984,0.0
2361,Korea,RD&D per thousand units of GDP,1985,0.0
2362,Korea,RD&D per thousand units of GDP,1986,0.0
2363,Korea,RD&D per thousand units of GDP,1987,0.0
2364,Korea,RD&D per thousand units of GDP,1988,0.0
2365,Korea,RD&D per thousand units of GDP,1989,0.0
2357,Korea,RD&D per thousand units of GDP,1981,0.0
2366,Korea,RD&D per thousand units of GDP,1990,0.0
2086,Italy,RD&D per thousand units of GDP,1992,0.0
2070,Italy,RD&D per thousand units of GDP,1976,0.0
1809,Hungary,RD&D per thousand units of GDP,1997,0.0
1810,Hungary,RD&D per thousand units of GDP,1998,0.0
1811,Hungary,RD&D per thousand units of GDP,1999,0.0
1942,Ireland,RD&D per thousand units of GDP,1989,0.0
1944,Ireland,RD&D per thousand units of GDP,1991,0.0
1945,Ireland,RD&D per thousand units of GDP,1992,0.0
1946,Ireland,RD&D per thousand units of GDP,1993,0.0
1947,Ireland,RD&D per thousand units of GDP,1994,0.0
3806,Spain,RD&D per thousand units of GDP,2020,0.0
1948,Ireland,RD&D per thousand units of GDP,1995,0.0
1950,Ireland,RD&D per thousand units of GDP,1997,0.0
1951,Ireland,RD&D per thousand units of GDP,1998,0.0
1952,Ireland,RD&D per thousand units of GDP,1999,0.0
1953,Ireland,RD&D per thousand units of GDP,2000,0.0
