,Country,Currency_type,Sectors,Year,Amount
144,Austria,USD (2020 prices and exchange rates),Energy efficiency,2013,0.0
145,Austria,USD (2020 prices and exchange rates),Energy efficiency,2014,0.0
146,Austria,USD (2020 prices and exchange rates),Energy efficiency,2015,0.0
147,Austria,USD (2020 prices and exchange rates),Energy efficiency,2016,0.0
148,Austria,USD (2020 prices and exchange rates),Energy efficiency,2017,0.0
149,Austria,USD (2020 prices and exchange rates),Energy efficiency,2018,0.0
150,Austria,USD (2020 prices and exchange rates),Energy efficiency,2019,0.0
151,Austria,USD (2020 prices and exchange rates),Energy efficiency,2020,0.0
152,Austria,USD (2020 prices and exchange rates),Fossil fuels,2013,0.0
153,Austria,USD (2020 prices and exchange rates),Fossil fuels,2014,0.0
154,Austria,USD (2020 prices and exchange rates),Fossil fuels,2015,0.0
155,Austria,USD (2020 prices and exchange rates),Fossil fuels,2016,0.0
156,Austria,USD (2020 prices and exchange rates),Fossil fuels,2017,0.0
157,Austria,USD (2020 prices and exchange rates),Fossil fuels,2018,0.0
158,Austria,USD (2020 prices and exchange rates),Fossil fuels,2019,0.0
159,Austria,USD (2020 prices and exchange rates),Fossil fuels,2020,0.0
160,Austria,USD (2020 prices and exchange rates),Renewables,2013,0.0
161,Austria,USD (2020 prices and exchange rates),Renewables,2014,0.0
162,Austria,USD (2020 prices and exchange rates),Renewables,2015,0.0
163,Austria,USD (2020 prices and exchange rates),Renewables,2016,0.0
164,Austria,USD (2020 prices and exchange rates),Renewables,2017,0.0
165,Austria,USD (2020 prices and exchange rates),Renewables,2018,0.0
166,Austria,USD (2020 prices and exchange rates),Renewables,2019,0.0
167,Austria,USD (2020 prices and exchange rates),Renewables,2020,0.0
168,Austria,USD (2020 prices and exchange rates),Nuclear,2013,0.0
169,Austria,USD (2020 prices and exchange rates),Nuclear,2014,0.0
170,Austria,USD (2020 prices and exchange rates),Nuclear,2015,0.0
171,Austria,USD (2020 prices and exchange rates),Nuclear,2016,0.0
172,Austria,USD (2020 prices and exchange rates),Nuclear,2017,0.0
173,Austria,USD (2020 prices and exchange rates),Nuclear,2018,0.0
174,Austria,USD (2020 prices and exchange rates),Nuclear,2019,0.0
175,Austria,USD (2020 prices and exchange rates),Nuclear,2020,0.0
176,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2013,0.0
177,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2014,0.0
178,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2015,0.0
179,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2016,0.0
180,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2017,0.0
181,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2018,0.0
182,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2019,0.0
183,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2020,0.0
184,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2013,0.0
185,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2014,0.0
186,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2015,0.0
187,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2016,0.0
188,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2017,0.0
189,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2018,0.0
190,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2019,0.0
191,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2020,0.0
192,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2013,0.0
193,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2014,0.0
194,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2015,0.0
195,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2016,0.0
196,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2017,0.0
197,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2018,0.0
198,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2019,0.0
199,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2020,0.0
200,Austria,USD (2020 prices and exchange rates),Unallocated,2013,0.0
201,Austria,USD (2020 prices and exchange rates),Unallocated,2014,0.0
202,Austria,USD (2020 prices and exchange rates),Unallocated,2015,593.821
203,Austria,USD (2020 prices and exchange rates),Unallocated,2016,0.0
204,Austria,USD (2020 prices and exchange rates),Unallocated,2017,811.878
205,Austria,USD (2020 prices and exchange rates),Unallocated,2018,0.0
206,Austria,USD (2020 prices and exchange rates),Unallocated,2019,0.0
207,Austria,USD (2020 prices and exchange rates),Unallocated,2020,0.0
208,Austria,USD (2020 prices and exchange rates),Total Budget,2013,0.0
209,Austria,USD (2020 prices and exchange rates),Total Budget,2014,0.0
210,Austria,USD (2020 prices and exchange rates),Total Budget,2015,593.821
211,Austria,USD (2020 prices and exchange rates),Total Budget,2016,0.0
212,Austria,USD (2020 prices and exchange rates),Total Budget,2017,811.878
213,Austria,USD (2020 prices and exchange rates),Total Budget,2018,0.0
214,Austria,USD (2020 prices and exchange rates),Total Budget,2019,0.0
215,Austria,USD (2020 prices and exchange rates),Total Budget,2020,0.0
504,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2013,0.0
505,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2014,0.0
506,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2015,5.708
507,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2016,3.974
508,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2017,6.869
509,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2018,8.444
510,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2019,10.85
511,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2020,11.436
512,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2013,0.0
513,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2014,0.0
514,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2015,4.227
515,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2016,3.782
516,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2017,3.903
517,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2018,3.578
