,Country,Currency_type,Sectors,Year,Amount
864,Australia,USD (2020 prices and exchange rates),Energy efficiency,1974,0.0
865,Australia,USD (2020 prices and exchange rates),Energy efficiency,1975,0.0
866,Australia,USD (2020 prices and exchange rates),Energy efficiency,1976,0.0
867,Australia,USD (2020 prices and exchange rates),Energy efficiency,1977,0.0
868,Australia,USD (2020 prices and exchange rates),Energy efficiency,1978,0.0
869,Australia,USD (2020 prices and exchange rates),Energy efficiency,1979,0.0
870,Australia,USD (2020 prices and exchange rates),Energy efficiency,1980,15.388
871,Australia,USD (2020 prices and exchange rates),Energy efficiency,1981,17.873
872,Australia,USD (2020 prices and exchange rates),Energy efficiency,1982,0.0
873,Australia,USD (2020 prices and exchange rates),Energy efficiency,1983,27.762
874,Australia,USD (2020 prices and exchange rates),Energy efficiency,1984,0.0
875,Australia,USD (2020 prices and exchange rates),Energy efficiency,1985,17.045
876,Australia,USD (2020 prices and exchange rates),Energy efficiency,1986,0.0
877,Australia,USD (2020 prices and exchange rates),Energy efficiency,1987,8.992
878,Australia,USD (2020 prices and exchange rates),Energy efficiency,1988,0.0
879,Australia,USD (2020 prices and exchange rates),Energy efficiency,1989,9.504
880,Australia,USD (2020 prices and exchange rates),Energy efficiency,1990,0.0
881,Australia,USD (2020 prices and exchange rates),Energy efficiency,1991,0.0
882,Australia,USD (2020 prices and exchange rates),Energy efficiency,1992,0.0
883,Australia,USD (2020 prices and exchange rates),Energy efficiency,1993,9.043
884,Australia,USD (2020 prices and exchange rates),Energy efficiency,1994,0.0
885,Australia,USD (2020 prices and exchange rates),Energy efficiency,1995,17.999
886,Australia,USD (2020 prices and exchange rates),Energy efficiency,1996,0.0
887,Australia,USD (2020 prices and exchange rates),Energy efficiency,1997,12.811
888,Australia,USD (2020 prices and exchange rates),Energy efficiency,1998,0.0
889,Australia,USD (2020 prices and exchange rates),Energy efficiency,1999,11.565
890,Australia,USD (2020 prices and exchange rates),Energy efficiency,2000,0.0
891,Australia,USD (2020 prices and exchange rates),Energy efficiency,2001,15.594
892,Australia,USD (2020 prices and exchange rates),Energy efficiency,2002,0.0
893,Australia,USD (2020 prices and exchange rates),Energy efficiency,2003,14.401
894,Australia,USD (2020 prices and exchange rates),Energy efficiency,2004,50.119
895,Australia,USD (2020 prices and exchange rates),Energy efficiency,2005,31.405
896,Australia,USD (2020 prices and exchange rates),Energy efficiency,2006,28.441
897,Australia,USD (2020 prices and exchange rates),Energy efficiency,2007,30.828
898,Australia,USD (2020 prices and exchange rates),Energy efficiency,2008,37.307
899,Australia,USD (2020 prices and exchange rates),Energy efficiency,2009,33.08
900,Australia,USD (2020 prices and exchange rates),Energy efficiency,2010,104.366
901,Australia,USD (2020 prices and exchange rates),Energy efficiency,2011,77.402
902,Australia,USD (2020 prices and exchange rates),Energy efficiency,2012,55.831
903,Australia,USD (2020 prices and exchange rates),Energy efficiency,2013,54.999
904,Australia,USD (2020 prices and exchange rates),Energy efficiency,2014,22.944
905,Australia,USD (2020 prices and exchange rates),Energy efficiency,2015,22.827
906,Australia,USD (2020 prices and exchange rates),Energy efficiency,2016,16.045
907,Australia,USD (2020 prices and exchange rates),Energy efficiency,2017,20.611
908,Australia,USD (2020 prices and exchange rates),Energy efficiency,2018,23.318
909,Australia,USD (2020 prices and exchange rates),Energy efficiency,2019,7.675
910,Australia,USD (2020 prices and exchange rates),Energy efficiency,2020,0.0
912,Australia,USD (2020 prices and exchange rates),Fossil fuels,1974,0.0
913,Australia,USD (2020 prices and exchange rates),Fossil fuels,1975,0.0
914,Australia,USD (2020 prices and exchange rates),Fossil fuels,1976,0.0
915,Australia,USD (2020 prices and exchange rates),Fossil fuels,1977,0.0
916,Australia,USD (2020 prices and exchange rates),Fossil fuels,1978,0.0
917,Australia,USD (2020 prices and exchange rates),Fossil fuels,1979,41.912
918,Australia,USD (2020 prices and exchange rates),Fossil fuels,1980,59.13
919,Australia,USD (2020 prices and exchange rates),Fossil fuels,1981,67.031
920,Australia,USD (2020 prices and exchange rates),Fossil fuels,1982,0.0
921,Australia,USD (2020 prices and exchange rates),Fossil fuels,1983,96.019
922,Australia,USD (2020 prices and exchange rates),Fossil fuels,1984,0.0
923,Australia,USD (2020 prices and exchange rates),Fossil fuels,1985,66.693
924,Australia,USD (2020 prices and exchange rates),Fossil fuels,1986,0.0
925,Australia,USD (2020 prices and exchange rates),Fossil fuels,1987,56.186
926,Australia,USD (2020 prices and exchange rates),Fossil fuels,1988,0.0
927,Australia,USD (2020 prices and exchange rates),Fossil fuels,1989,63.501
928,Australia,USD (2020 prices and exchange rates),Fossil fuels,1990,0.0
929,Australia,USD (2020 prices and exchange rates),Fossil fuels,1991,0.0
930,Australia,USD (2020 prices and exchange rates),Fossil fuels,1992,0.0
931,Australia,USD (2020 prices and exchange rates),Fossil fuels,1993,91.856
932,Australia,USD (2020 prices and exchange rates),Fossil fuels,1994,0.0
933,Australia,USD (2020 prices and exchange rates),Fossil fuels,1995,77.976
934,Australia,USD (2020 prices and exchange rates),Fossil fuels,1996,0.0
935,Australia,USD (2020 prices and exchange rates),Fossil fuels,1997,143.422
936,Australia,USD (2020 prices and exchange rates),Fossil fuels,1998,0.0
937,Australia,USD (2020 prices and exchange rates),Fossil fuels,1999,109.324
938,Australia,USD (2020 prices and exchange rates),Fossil fuels,2000,0.0
939,Australia,USD (2020 prices and exchange rates),Fossil fuels,2001,107.807
940,Australia,USD (2020 prices and exchange rates),Fossil fuels,2002,0.0
941,Australia,USD (2020 prices and exchange rates),Fossil fuels,2003,88.383
942,Australia,USD (2020 prices and exchange rates),Fossil fuels,2004,55.816
943,Australia,USD (2020 prices and exchange rates),Fossil fuels,2005,52.483
944,Australia,USD (2020 prices and exchange rates),Fossil fuels,2006,60.873
945,Australia,USD (2020 prices and exchange rates),Fossil fuels,2007,64.223
946,Australia,USD (2020 prices and exchange rates),Fossil fuels,2008,61.434
947,Australia,USD (2020 prices and exchange rates),Fossil fuels,2009,252.433
948,Australia,USD (2020 prices and exchange rates),Fossil fuels,2010,177.213
949,Australia,USD (2020 prices and exchange rates),Fossil fuels,2011,205.003
950,Australia,USD (2020 prices and exchange rates),Fossil fuels,2012,307.86
951,Australia,USD (2020 prices and exchange rates),Fossil fuels,2013,250.51
952,Australia,USD (2020 prices and exchange rates),Fossil fuels,2014,120.277
953,Australia,USD (2020 prices and exchange rates),Fossil fuels,2015,49.924
954,Australia,USD (2020 prices and exchange rates),Fossil fuels,2016,31.64
955,Australia,USD (2020 prices and exchange rates),Fossil fuels,2017,49.775
956,Australia,USD (2020 prices and exchange rates),Fossil fuels,2018,50.492
957,Australia,USD (2020 prices and exchange rates),Fossil fuels,2019,9.992
958,Australia,USD (2020 prices and exchange rates),Fossil fuels,2020,0.0
960,Australia,USD (2020 prices and exchange rates),Renewables,1974,0.0
961,Australia,USD (2020 prices and exchange rates),Renewables,1975,0.0
