,Entity,Code,Year,Waste per person(kg/day),Mismanaged waste per person(kg/day),GDP per capita in PPP,Total Population,Continent,Total waste(kgs/year),Total waste mismanaged(kgs/year)
0,Albania,ALB,2010,0.07,0.03,9927.181841,2948000,Europe,75321400,32280600
1,Algeria,DZA,2010,0.14,0.09,12870.6027,35977000,Africa,1838424700,1181844450
2,Angola,AGO,2010,0.06,0.04,5897.682841,23356000,Africa,511496400,340997600
3,Anguilla,AIA,2010,0.25,0.01,,13000,North America,1186250,47450
4,Antigua and Barbuda,ATG,2010,0.66,0.05,19212.72013,88000,North America,21199200,1606000
5,Argentina,ARG,2010,0.18,0.03,18712.06308,40896000,South America,-2147483648,447811200
6,Aruba,ABW,2010,0.25,0.01,,102000,North America,9307500,372300
7,Australia,AUS,2010,0.11,0,41464.04007,22155000,Oceania,889523250,0
8,Bahamas,BHS,2010,0.39,0.01,29221.99118,355000,North America,50534250,1295750
9,Bahrain,BHR,2010,0.13,0.02,40570.53569,1241000,Asia,58885450,9059300
10,Bangladesh,BGD,2010,0.03,0.03,2442.728888,147575008,Asia,1615946337,1615946337
11,Barbados,BRB,2010,0.57,0.03,16417.96245,282000,North America,58670100,3087900
12,Belgium,BEL,2010,0.08,0,41085.91894,10939000,Europe,319418800,0
13,Belize,BLZ,2010,0.17,0.05,7876.809586,322000,North America,19980100,5876500
14,Benin,BEN,2010,0.04,0.04,1818.778461,9199000,Africa,134305400,134305400
15,Bermuda,BMU,2010,0.25,0,56395.0078,65000,North America,5931250,0
16,Bosnia and Herzegovina,BIH,2010,0.14,0.06,9720.342177,3705000,Europe,189325500,81139500
17,Brazil,BRA,2010,0.16,0.02,14537.56719,195714000,South America,-2147483648,1428712200
18,British Virgin Islands,VGB,2010,0.25,0,,28000,North America,2555000,0
19,Brunei,BRN,2010,0.03,0,80552.86447,389000,Asia,4259550,0
20,Bulgaria,BGR,2010,0.15,0.05,15283.29148,7425000,Europe,406518750,135506250
21,Cambodia,KHM,2010,0.07,0.06,2522.926825,14312000,Asia,365671600,313432800
22,Cameroon,CMR,2010,0.05,0.04,2929.829113,20341000,Africa,371223250,296978600
23,Canada,CAN,2010,0.09,0,40699.35513,34148000,North America,1121761800,0
24,Cape Verde,CPV,2010,0.06,0.05,5828.241588,493000,Africa,10796700,8997250
25,Cayman Islands,CYM,2010,0.25,0,,57000,North America,5201250,0
26,Channel Islands,OWID_CIS,2010,0.25,0,,160000,Europe,14600000,0
27,Chile,CHL,2010,0.12,0.01,19442.05032,17063000,South America,747359400,62279950
28,China,CHN,2010,0.12,0.09,9525.818483,1368811008,Asia,-2147483648,-2147483648
29,Colombia,COL,2010,0.14,0.03,10900.50528,45223000,South America,-2147483648,495191850
30,Comoros,COM,2010,0.2,0.17,1412.502687,690000,Africa,50370000,42814500
31,Congo,COG,2010,0.07,0.05,5186.344788,4274000,Africa,109200700,78000500
32,Cook Islands,COK,2010,0.14,0.05,,18000,Oceania,919800,328500
33,Costa Rica,CRI,2010,0.26,0.05,12999.99219,4577000,North America,434357300,83530250
34,Cote d'Ivoire,CIV,2010,0.1,0.09,2690.258002,20533000,Africa,749454500,674509050
35,Croatia,HRV,2010,0.25,0.03,20171.95753,4328000,Europe,394930000,47391600
36,Cuba,CUB,2010,0.09,0.02,,11226000,North America,368774100,81949800
37,Curacao,CUW,2010,0.25,0,,149000,North America,13596250,0
38,Cyprus,CYP,2010,0.25,0.01,33941.13802,1113000,Europe,101561250,4062450
39,Democratic Republic of Congo,COD,2010,0.04,0.04,660.2109558,64564000,Africa,942634400,942634400
40,Denmark,DNK,2010,0.05,0,43998.43667,5555000,Europe,101378750,0
41,Djibouti,DJI,2010,0.1,0.08,,840000,Africa,30660000,24528000
42,Dominica,DMA,2010,0.15,0.03,10198.27337,71000,North America,3887250,777450
43,Dominican Republic,DOM,2010,0.14,0.04,11132.55269,9695000,North America,495414500,141547000
44,Ecuador,ECU,2010,0.15,0.05,9352.344237,15011000,South America,821852250,273950750
45,Egypt,EGY,2010,0.18,0.12,9857.468282,82761000,Africa,-2147483648,-2147483648
46,El Salvador,SLV,2010,0.15,0.05,6300.775388,6184000,North America,338574000,112858000
47,Equatorial Guinea,GNQ,2010,0.14,0.05,33723.3658,944000,Africa,48238400,17228000
48,Eritrea,ERI,2010,0.04,0.04,1416.365802,3170000,Africa,46282000,46282000
49,Estonia,EST,2010,0.18,0.02,22740.972,1332000,Europe,87512400,9723600
50,Faeroe Islands,FRO,2010,0.25,0,,48000,Europe,4380000,0
51,Falkland Islands,FLK,2010,0.25,0,,3000,South America,273750,0
52,Fiji,FJI,2010,0.19,0.15,7352.08836,860000,Oceania,59641000,47085000
53,Finland,FIN,2010,0.23,0,39848.1345,5366000,Europe,450475700,0
54,France,FRA,2010,0.19,0,36855.84468,62880000,Europe,-2147483648,0
55,French Guiana,GUF,2010,0.14,0.04,,233000,South America,11906300,3401800
56,French Polynesia,PYF,2010,0.25,0.01,,266000,Oceania,24272500,970900
57,Gabon,GAB,2010,0.05,0.02,15355.78465,1624000,Africa,29638000,11855200
58,Gambia,GMB,2010,0.05,0.04,1644.242366,1793000,Africa,32722250,26177800
59,Georgia,GEO,2010,0.07,0.04,6733.783761,4099000,Asia,104729450,59845400
60,Germany,DEU,2010,0.48,0.01,40428.72103,80827000,Europe,-2147483648,295018550
61,Ghana,GHA,2010,0.04,0.03,3059.383626,24780000,Africa,361788000,271341000
62,Gibraltar,GIB,2010,0.25,0,,34000,Europe,3102500,0
63,Greece,GRC,2010,0.2,0,28726.07928,10888000,Europe,794824000,0
64,Greenland,GRL,2010,0.25,0,,57000,North America,5201250,0
65,Grenada,GRD,2010,0.32,0.06,11177.99972,106000,North America,12380800,2321400
66,Guadeloupe,GLP,2010,0.14,0.04,,406000,North America,20746600,5927600
67,Guam,GUM,2010,0.25,0.01,,159000,Oceania,14508750,580350
68,Guatemala,GTM,2010,0.28,0.1,6714.063596,14630000,North America,1495186000,533995000
69,Guinea,GIN,2010,0.03,0.02,1573.544958,10192000,Africa,111602400,74401600
70,Guinea-Bissau,GNB,2010,0.05,0.05,1400.363293,1523000,Africa,27794750,27794750
71,Guyana,GUY,2010,0.59,0.22,5847.857255,749000,South America,161297150,60144700
72,Haiti,HTI,2010,0.09,0.04,1502.032711,9949000,North America,326824650,145255400
73,Honduras,HND,2010,0.19,0.08,3971.182994,8317000,North America,576783950,242856400
74,Hong Kong,HKG,2010,0.4,0.01,48107.70863,6966000,Asia,1017036000,25425900
75,Iceland,ISL,2010,0.28,0.01,38978.0056,320000,Europe,32704000,1168000
76,India,IND,2010,0.01,0.01,4404.697005,1234280960,Asia,-2147483648,-2147483648
77,Indonesia,IDN,2010,0.06,0.05,8433.497357,241834000,Asia,-2147483648,-2147483648
78,Iran,IRN,2010,0.14,0.07,17942.83284,73763000,Asia,-2147483648,1884644650
79,Iraq,IRQ,2010,0.1,0.07,12717.59753,29742000,Asia,1085583000,759908100
80,Ireland,IRL,2010,0.43,0.01,44030.41415,4554000,Europe,714750300,16622100
81,Israel,ISR,2010,0.3,0.01,29743.00587,7346000,Asia,804387000,26812900
82,Italy,ITA,2010,0.13,0,36201.16157,59325000,Europe,-2147483648,0
83,Jamaica,JAM,2010,0.03,0.01,7996.019488,2810000,North America,30769500,10256500
84,Japan,JPN,2010,0.17,0,35749.75668,128542000,Asia,-2147483648,0
85,Jordan,JOR,2010,0.14,0.09,9472.768326,7262000,Asia,371088200,238556700
86,Kenya,KEN,2010,0.03,0.02,2476.010742,42031000,Africa,460239450,306826300
87,Kiribati,KIR,2010,0.1,0.09,1731.538627,103000,Oceania,3759500,3383550
88,Kuwait,KWT,2010,0.69,0.01,75204.14512,2992000,Asia,753535199,10920800
89,Latvia,LVA,2010,0.12,0.02,18251.95328,2119000,Europe,92812200,15468700
90,Lebanon,LBN,2010,0.09,0.03,16451.75983,4953000,Asia,162706050,54235350
91,Liberia,LBR,2010,0.08,0.07,699.6537215,3891000,Africa,113617200,99415050
92,Libya,LBY,2010,0.14,0.04,29630.22215,6198000,Africa,316717800,90490800
93,Lithuania,LTU,2010,0.13,0.02,21070.63433,3124000,Europe,148233800,22805200
94,Macao,MAC,2010,0.37,0.01,98184.3365,538000,Asia,72656900,1963700
95,Madagascar,MDG,2010,0.02,0.01,1385.685072,21152000,Africa,154409600,77204800
96,Malaysia,MYS,2010,0.2,0.11,21107.26794,28208000,Asia,2059184000,1132551200
97,Maldives,MDV,2010,0.32,0.22,12005.50462,366000,Asia,42748800,29389800
98,Malta,MLT,2010,0.21,0.02,28364.79932,414000,Europe,31733100,3022200
99,Marshall Islands,MHL,2010,0.19,0.15,3479.155303,56000,Oceania,3883600,3066000
100,Martinique,MTQ,2010,0.25,0,,395000,North America,36043750,0
101,Mauritania,MRT,2010,0.04,0.04,3316.97478,3494000,Africa,51012400,51012400
102,Mauritius,MUS,2010,0.23,0.12,15938.41921,1248000,Africa,104769600,54662400
