T28,Patents,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1985,Grants of patents (number),397580.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
1,"Total, all countries or areas",1995,Grants of patents (number),430700.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Grants of patents (number),633100.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Grants of patents (number),914800.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
1,"Total, all countries or areas",2016,Grants of patents (number),1345800.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
1,"Total, all countries or areas",2017,Grants of patents (number),1397900.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
1,"Total, all countries or areas",2018,Grants of patents (number),1422800.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
2,Africa,2005,Grants of patents (number),4800.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
2,Africa,2010,Grants of patents (number),9600.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
2,Africa,2016,Grants of patents (number),7900.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
2,Africa,2017,Grants of patents (number),9400.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
2,Africa,2018,Grants of patents (number),8700.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
21,Northern America,2005,Grants of patents (number),159300.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
21,Northern America,2010,Grants of patents (number),238700.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
21,Northern America,2016,Grants of patents (number),329500.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
21,Northern America,2017,Grants of patents (number),342900.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
21,Northern America,2018,Grants of patents (number),331300.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2005,Grants of patents (number),14200.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2010,Grants of patents (number),17100.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2016,Grants of patents (number),18900.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2017,Grants of patents (number),20300.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
419,Latin America & the Caribbean,2018,Grants of patents (number),24700.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
142,Asia,2005,Grants of patents (number),288700.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
142,Asia,2010,Grants of patents (number),469700.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
142,Asia,2016,Grants of patents (number),765900.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
142,Asia,2017,Grants of patents (number),796400.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
142,Asia,2018,Grants of patents (number),812000.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
150,Europe,2005,Grants of patents (number),150900.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
150,Europe,2010,Grants of patents (number),160800.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
150,Europe,2016,Grants of patents (number),195900.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
150,Europe,2017,Grants of patents (number),203700.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
150,Europe,2018,Grants of patents (number),226900.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
9,Oceania,2005,Grants of patents (number),15200.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
9,Oceania,2010,Grants of patents (number),18900.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
9,Oceania,2016,Grants of patents (number),27700.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
9,Oceania,2017,Grants of patents (number),25200.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
9,Oceania,2018,Grants of patents (number),19200.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
8,Albania,2016,Resident patent filings (per million population),8.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
